sample,weight0,weight1,weight2,weight3,weight4,weight5,weight6,weight7,weight8,weight9,weight10,weight11,
0,0.25,0.75,0.25,0.75,0,0.25,0.5,0.75,0.25,0,0.25,0,
1,0.5,0,0.25,0.5,0.5,0.25,0,0,0,0.75,0,0.5,
2,0.25,0.5,0.25,0,0.75,0.75,0,0,0.5,0.25,0.5,0.25,
3,0.75,0.5,0.5,0,0.5,0,0,0.75,0.5,0.75,0.25,0.5,
4,0.5,0.5,0,0,0.5,0.25,0.75,0,0.5,0.75,0.75,0.75,
5,0.5,0,0.75,0.75,0.25,0.75,0.25,0.75,0.75,0.75,0.75,0,
6,0.25,0.75,0,0,0.5,0.75,0.75,0.5,0,0.25,0,0.75,
7,0.75,0.5,0.25,0.75,0.75,0.75,0.75,0.5,0.5,0,0.25,0,
8,0.25,0.75,0.75,0.25,0.75,0.25,0,0.75,0.25,0.75,0.75,0,
9,0.75,0.5,0.75,0.5,0.75,0.75,0.25,0.25,0.5,0.25,0,0.5,
10,0.75,0.75,0.25,0.75,0.75,0.5,0.75,0.5,0,0.5,0,0,
11,0.25,0,0.5,0.5,0.5,0.25,0,0.5,0,0,0.25,0.5,
12,0.75,0.75,0.5,0.25,0.75,0.5,0.25,0.25,0.5,0,0.75,0.5,
13,0.75,0,0.75,0,0.75,0.25,0.25,0.25,0,0.75,0.75,0.25,
14,0.75,0.25,0.75,0.25,0.75,0.5,0.25,0.5,0,0,0.25,0.25,
15,0.75,0.5,0.25,0.25,0.5,0.25,0.5,0.25,0.5,0.5,0.75,0.75,
16,0.75,0.5,0.75,0,0,0.75,0.5,0.75,0,0.5,0.5,0.5,
17,0.75,0.5,0.5,0.25,0,0.25,0.75,0.5,0.75,0.25,0.75,0.25,
18,0.25,0,0.5,0,0,0.5,0.75,0.75,0.5,0,0.5,0,
19,0.75,0.75,0.75,0.25,0.75,0.5,0,0.25,0.75,0.25,0.75,0.75,
20,0.75,0.25,0.5,0,0.25,0,0.25,0,0.25,0.25,0.5,0,
21,0.25,0.25,0,0.5,0.25,0,0.25,0,0.5,0,0.75,0.5,
22,0.75,0.75,0.5,0.5,0.75,0.25,0,0.25,0.5,0.25,0.25,0.75,
23,0.5,0.25,0.75,0.75,0.75,0,0,0.75,0.5,0.5,0.75,0.75,
24,0.25,0,0.5,0,0.75,0.25,0,0.5,0,0.75,0.75,0,
25,0.5,0.5,0.75,0.5,0.75,0.5,0.75,0.75,0.25,0.5,0,0.5,
26,0.75,0.25,0.5,0.75,0,0.75,0,0.75,0,0.75,0,0,
27,0.25,0,0.5,0.25,0.25,0,0.75,0,0.5,0.75,0.5,0.5,
28,0,0.25,0.5,0.75,0.75,0.25,0,0.5,0.25,0.25,0.25,0.25,
29,0.5,0,0.25,0.75,0.75,0.5,0.75,0.25,0,0,0.25,0,
30,0,0.75,0,0.75,0.25,0,0,0,0,0,0.5,0,
31,0.75,0.5,0,0,0.75,0.75,0.25,0.25,0.5,0,0.75,0.25,
32,0,0.5,0.75,0,0.75,0,0.75,0.75,0.75,0.25,0.75,0.75,
33,0.75,0,0,0,0.75,0.75,0.75,0.75,0,0.5,0.5,0.5,
34,0.25,0.5,0.75,0.5,0,0.75,0,0.75,0,0.75,0,0,
35,0.75,0.25,0.75,0.75,0.75,0.75,0.75,0,0.75,0.5,0,0.75,
36,0,0.25,0.25,0.5,0.25,0.5,0.25,0.25,0.25,0.25,0.25,0.25,
37,0.25,0.25,0.25,0.25,0.25,0.25,0.75,0,0,0.5,0.75,0.75,
