sample,weight0,weight1,weight2,weight3,weight4,weight5,weight6,weight7,weight8,weight9,weight10,weight11,
0,0,0.25,0.25,0.75,0,0.75,0.75,0.75,0.5,0,0.75,0.75,
1,0,0.75,0,0.5,0.25,0,0.75,0.75,0,0.25,0.5,0.5,
2,0.25,0.25,0.25,0.75,0,0.5,0.25,0.5,0.25,0.25,0.25,0.25,
3,0.75,0.5,0,0.75,0,0,0.5,0.25,0.75,0.75,0.5,0.75,
4,0.75,0.25,0.25,0.25,0.5,0.75,0.5,0,0.75,0.75,0.5,0,
5,0,0.25,0.75,0.25,0.5,0.75,0,0.75,0.5,0.25,0,0,
6,0,0,0.5,0.75,0.75,0.25,0.25,0.25,0.75,0.75,0,0.5,
7,0.75,0.5,0.5,0,0.75,0.5,0.25,0.75,0,0,0.5,0.25,
8,0,0.5,0,0.25,0.5,0,0.5,0,0,0.5,0.5,0.25,
9,0.25,0.25,0.25,0,0,0,0.5,0.75,0.25,0.5,0.25,0.5,
10,0.5,0.75,0.75,0.75,0.75,0,0.25,0,0.5,0.75,0,0.25,
11,0.25,0.75,0.5,0.5,0,0,0.75,0.25,0,0,0.5,0.5,
12,0.75,0,0.25,0.25,0.5,0.75,0.25,0.25,0.5,0.25,0.5,0,
13,0.25,0,0.5,0.5,0,0.75,0.5,0.75,0.5,0.5,0.75,0.5,
14,0.75,0.5,0.25,0.5,0.5,0,0.75,0.75,0.5,0.25,0.5,0,
15,0.25,0.25,0.5,0.25,0.75,0.75,0.25,0.25,0.5,0.25,0.25,0,
16,0,0.5,0,0.5,0.5,0,0,0.75,0.5,0.75,0,0.5,
17,0.5,0,0,0.75,0.75,0.5,0,0.25,0.75,0.75,0.25,0,
18,0.75,0.5,0.75,0,0.75,0,0.5,0.75,0.5,0.25,0.75,0.75,
19,0.5,0.5,0.25,0,0,0,0,0.25,0.75,0,0.75,0,
20,0.75,0.75,0.75,0.75,0.25,0.75,0.5,0.25,0.75,0.25,0.25,0.5,
21,0,0.75,0,0.75,0,0.5,0.25,0.25,0.75,0.5,0.5,0,
22,0.25,0.25,0,0.25,0.75,0.75,0.25,0.75,0.75,0.75,0.5,0.25,
23,0.5,0.5,0.5,0,0.75,0.75,0,0.75,0.5,0.25,0.5,0,
24,0.5,0.75,0.25,0.5,0.75,0.5,0.75,0,0,0.75,0.75,0.5,
25,0.5,0.25,0.25,0,0.5,0,0.75,0.25,0.25,0.5,0,0.25,
26,0.75,0.75,0,0,0.5,0.5,0.75,0.75,0.25,0.75,0.5,0.25,
27,0.5,0,0.75,0,0.75,0.5,0.5,0.25,0.5,0.25,0.25,0.5,
28,0.75,0,0.75,0.25,0.5,0.75,0,0.75,0.75,0.5,0.5,0.75,
29,0,0.75,0.75,0.25,0.5,0.5,0.5,0.5,0.75,0.5,0,0.25,
30,0.75,0.5,0.25,0.25,0.25,0.25,0.5,0.25,0.5,0.25,0,0.5,
31,0,0,0.75,0,0.25,0.75,0.75,0.25,0.25,0.5,0.75,0.75,
32,0.5,0.5,0.25,0,0.5,0.25,0.5,0.75,0.75,0.75,0,0.25,
33,0.75,0.75,0.25,0.25,0,0.5,0.25,0.75,0.5,0.75,0.75,0.25,
34,0,0.75,0,0,0,0.75,0.5,0.25,0.75,0,0.75,0.25,
35,0.5,0.25,0.25,0,0.5,0,0,0,0.25,0,0.5,0.75,
36,0.25,0.5,0.75,0.5,0.75,0,0.5,0,0,0.5,0.75,0.75,
37,0.5,0.75,0.75,0,0,0.5,0.25,0.5,0.5,0,0.5,0.5,
38,0,0.75,0,0.75,0.75,0.25,0.5,0.75,0.75,0.5,0,0.25,
39,0.25,0,0.25,0,0,0,0,0,0,0.25,0.5,0.5,
40,0.25,0.75,0.25,0,0,0.25,0.75,0,0.25,0.75,0.25,0,
41,0.25,0.5,0.75,0.75,0,0.25,0.75,0.5,0.25,0,0.5,0.5,
42,0.5,0.75,0.5,0,0.5,0,0.75,0.75,0,0,0.25,0,
43,0.75,0,0.25,0.75,0.75,0.75,0.5,0.75,0.5,0.5,0,0.5,
44,0.5,0.5,0.5,0,0.5,0.25,0.75,0.25,0.25,0.25,0.5,0.25,
45,0.5,0.25,0.75,0.75,0.5,0.5,0.75,0,0.5,0.75,0.75,0,
46,0.25,0.75,0.75,0.75,0,0.25,0.5,0.75,0.5,0.25,0,0.25,
47,0.5,0.75,0.25,0.75,0,0,0.25,0,0.75,0.75,0.75,0.75,
48,0.25,0.5,0.5,0.5,0.25,0,0.5,0.25,0,0.5,0.75,0.75,
49,0.25,0,0.5,0.75,0.75,0,0.5,0.25,0,0.75,0.25,0.5,
50,0.25,0.25,0.5,0.25,0.25,0,0,0,0.75,0.25,0.25,0.25,
51,0.25,0,0.5,0,0.5,0,0.25,0,0.75,0.25,0.25,0.5,
52,0.5,0.5,0,0,0.25,0.5,0.5,0,0.75,0,0.25,0.75,
53,0.25,0.25,0.25,0.5,0,0.75,0.75,0.75,0,0.25,0.75,0.25,
54,0.75,0.75,0,0.5,0.25,0.5,0,0.25,0.75,0.5,0,0.5,
55,0.75,0.5,0,0.5,0.75,0.25,0.75,0.25,0,0,0.25,0,
56,0.25,0.25,0.75,0.75,0,0.75,0.5,0.25,0.25,0,0,0.25,
57,0,0.75,0.5,0.5,0.75,0.25,0.25,0,0,0,0.25,0,
58,0.5,0,0.5,0.5,0,0,0,0.75,0,0.25,0.5,0.75,
59,0,0.75,0.75,0.25,0.25,0.75,0.25,0,0.25,0,0.25,0.5,
60,0.5,0.75,0.5,0.5,0,0.25,0.75,0.75,0,0.75,0,0,
61,0,0.5,0.25,0.75,0.25,0.25,0.75,0,0.75,0.25,0.75,0,
62,0,0.25,0.75,0.75,0.5,0.25,0.5,0,0.75,0.75,0.25,0.5,
63,0.5,0.5,0.75,0.5,0.25,0.75,0.25,0.5,0.75,0.5,0,0.75,
64,0,0,0.25,0.25,0.25,0.5,0.5,0,0.25,0,0.25,0.75,
65,0.25,0.5,0.75,0,0.25,0.25,0.5,0.25,0,0.75,0,0.25,
66,0,0,0.75,0.75,0.5,0.75,0.75,0,0,0.25,0.5,0.75,
67,0,0,0.75,0,0.5,0,0.75,0.25,0,0.25,0.75,0.75,
68,0.75,0.5,0.75,0.25,0,0.75,0.25,0,0.75,0.75,0.75,0.75,
69,0,0,0.75,0,0.5,0.75,0.25,0.25,0.75,0.75,0.5,0.75,
70,0.75,0,0.75,0.5,0.5,0.75,0.25,0.25,0,0.5,0.25,0.25,
71,0.25,0.25,0.5,0.25,0.25,0.5,0.25,0,0.75,0,0,0,
72,0,0.75,0,0.75,0,0.75,0.75,0,0.25,0.5,0.75,0.5,
73,0.75,0,0.5,0.25,0.75,0.75,0.5,0.25,0.25,0.75,0,0.5,
74,0.75,0.75,0,0,0.25,0,0,0.25,0.75,0,0,0.75,
