sample,weight0,weight1,weight2,weight3,weight4,weight5,weight6,weight7,weight8,weight9,weight10,weight11,
0,0.25,0.25,0.75,0.5,0.25,0.5,0.5,0,0.5,0.75,0.5,0.25,
1,0,0.75,0,0.25,0.5,0,0,0.25,0.75,0.25,0,0.25,
2,0.75,0.5,0,0.75,0,0.5,0.25,0,0.25,0.5,0.75,0.75,
3,0.5,0.75,0.25,0.75,0.75,0.5,0.5,0,0.75,0.25,0,0.75,
4,0,0.25,0.75,0.25,0.25,0.75,0,0.5,0.5,0.25,0.25,0,
5,0.5,0.5,0,0.5,0.25,0.75,0.5,0.75,0.5,0.25,0.25,0.25,
6,0.25,0.5,0.5,0,0.25,0.5,0.5,0,0,0,0,0,
7,0.75,0.25,0,0.75,0.75,0.5,0.5,0,0.25,0.75,0.75,0.75,
8,0.5,0,0,0.75,0.5,0.25,0.5,0.25,0.25,0.75,0.75,0,
9,0,0,0.25,0.25,0.75,0,0.75,0.75,0.75,0.5,0.25,0.25,
10,0.5,0.25,0.5,0.5,0.75,0,0.5,0.75,0,0.25,0,0.5,
11,0.5,0.5,0.5,0.5,0.75,0.75,0.75,0,0,0.5,0,0.75,
12,0,0.5,0.75,0.25,0.25,0.25,0.5,0.75,0.75,0.5,0,0.5,
13,0,0,0.75,0.5,0.75,0.5,0,0.5,0,0.75,0.25,0.75,
14,0.5,0.5,0,0.5,0.75,0,0.25,0.5,0.5,0.5,0,0.25,
15,0,0,0.5,0.5,0.5,0.75,0.75,0.5,0.25,0.75,0,0.5,
16,0.25,0.5,0.75,0.25,0.5,0.5,0.75,0.75,0,0.5,0,0.5,
17,0.75,0.25,0.25,0,0.75,0.25,0.25,0.5,0.75,0,0.25,0.75,
18,0.75,0.5,0.75,0.5,0,0,0.25,0.75,0.25,0.75,0.25,0.25,
19,0.5,0,0,0,0.25,0.75,0.25,0.5,0,0.25,0.75,0.25,
20,0.75,0.25,0.5,0.5,0,0.5,0,0.75,0,0.25,0.75,0.25,
21,0.25,0.25,0.5,0.75,0.25,0,0.75,0.25,0.25,0,0.25,0.75,
22,0.25,0,0.25,0.75,0.25,0,0.25,0.75,0.75,0.25,0.25,0,
23,0.5,0.25,0.25,0.75,0.5,0.75,0.25,0,0.5,0.5,0.25,0.5,
24,0.5,0.75,0.25,0.5,0.25,0.5,0.75,0.75,0.5,0,0,0.75,
25,0.75,0.25,0.25,0,0.75,0.75,0.25,0,0.75,0.75,0,0.25,
26,0.5,0,0.25,0.25,0,0,0,0.25,0.5,0.5,0,0.25,
27,0.5,0.25,0.5,0.5,0.25,0.5,0,0.75,0.5,0,0.75,0,
28,0.75,0,0,0,0,0.75,0,0.5,0.25,0.25,0.5,0.25,
29,0,0,0.75,0.5,0.25,0.5,0,0,0.25,0.5,0.5,0.5,
30,0.25,0.5,0,0.25,0.75,0,0.5,0.75,0.25,0.75,0.75,0.5,
31,0.25,0.75,0.75,0.75,0.5,0,0.75,0.25,0.75,0.25,0,0.75,
32,0.25,0.25,0.75,0.75,0.75,0.25,0.25,0,0.75,0,0,0.25,
33,0.25,0,0,0.75,0.25,0.5,0.75,0.25,0.25,0.25,0.5,0,
34,0.25,0.25,0.75,0.25,0.5,0,0.5,0.5,0,0.5,0,0.25,
35,0.75,0.5,0.75,0.25,0.75,0.25,0.25,0,0,0.75,0.5,0,
