sample,weight0,weight1,weight2,weight3,weight4,weight5,weight6,weight7,weight8,weight9,weight10,weight11,
0,0.5,0.25,0.25,0.75,0.25,0.25,0.75,0.75,0.5,0.5,0,0.75,
1,0.75,0.5,0,0.5,0.75,0.5,0.75,0.25,0.5,0.75,0,0.25,
2,0.75,0.75,0.25,0,0.75,0,0.5,0.25,0.75,0.75,0.5,0.75,
3,0,0.25,0.75,0,0.75,0.5,0.75,0.75,0,0.5,0.5,0.75,
4,0,0.75,0.75,0.25,0.5,0.75,0,0,0,0,0,0.5,
5,0,0.5,0,0.75,0,0,0.25,0.75,0.25,0,0.5,0,
6,0.75,0.75,0.5,0.75,0.5,0.5,0.5,0.5,0,0,0.25,0,
7,0.25,0.25,0.25,0,0.75,0.25,0.5,0.75,0.25,0.75,0,0.5,
8,0.25,0.75,0.25,0.25,0.75,0,0,0.5,0.75,0.75,0.25,0.5,
9,0.25,0.75,0.75,0.5,0,0.25,0,0.25,0.5,0.75,0.5,0,
10,0.75,0.75,0.5,0.5,0.5,0,0.25,0,0.25,0.25,0,0.5,
11,0,0.5,0.25,0.5,0,0.75,0.25,0,0.5,0.25,0.25,0.5,
12,0.75,0.5,0.25,0,0.25,0.25,0,0.75,0,0.75,0,0.5,
13,0.5,0.75,0.75,0,0,0,0.75,0.5,0.5,0.75,0.5,0,
14,0,0.5,0.25,0.75,0.25,0.25,0.5,0.75,0.25,0.75,0.25,0.5,
15,0.25,0.25,0.75,0.75,0,0.25,0.75,0,0.5,0.75,0,0.25,
16,0.75,0,0,0,0,0,0.5,0.25,0,0,0.5,0.5,
17,0,0.5,0,0.5,0.25,0.5,0.75,0.25,0.25,0,0.5,0,
18,0.25,0,0.25,0.5,0.5,0.25,0.75,0.5,0.5,0.75,0.75,0.25,
19,0,0.25,0.75,0.75,0.25,0,0.25,0.25,0.5,0.5,0.75,0.5,
20,0.25,0.5,0.5,0.5,0.75,0.75,0.5,0.25,0.5,0.25,0.75,0.5,
21,0.5,0.5,0.75,0.75,0.75,0.75,0,0.75,0.5,0.25,0.75,0,
22,0.5,0.75,0.75,0,0.75,0,0.75,0.25,0.5,0.75,0.25,0.25,
23,0,0.75,0.25,0.5,0.75,0.75,0,0.5,0.5,0,0.5,0.75,
24,0.25,0.25,0.5,0.25,0,0.25,0,0,0.5,0.75,0,0.5,
25,0.75,0.25,0.75,0.25,0.75,0.75,0.25,0,0.25,0,0,0.5,
26,0.5,0.5,0.5,0.5,0.25,0.75,0.75,0,0.25,0,0.5,0.5,
27,0,0.25,0.25,0.5,0.75,0.25,0,0.5,0.75,0.75,0.25,0.25,
28,0.75,0.25,0.25,0.5,0.25,0.75,0,0,0.5,0.5,0.75,0.25,
29,0.25,0.5,0.25,0.75,0.75,0.25,0,0.25,0,0,0.75,0,
30,0.5,0,0,0.75,0.25,0,0.25,0.5,0.5,0.75,0.5,0.75,
31,0,0.5,0.75,0.5,0.25,0,0.25,0.5,0.75,0,0,0,
32,0,0,0.25,0.25,0.75,0,0.25,0,0,0.5,0,0.5,
33,0.75,0.25,0.75,0.5,0,0,0,0,0.75,0.5,0,0,
34,0.75,0.25,0.5,0.75,0.75,0.5,0,0.25,0.75,0.75,0.25,0.25,
35,0.5,0,0,0,0.25,0.75,0.25,0.25,0.5,0.5,0.25,0.75,
36,0.25,0.25,0.5,0.25,0.75,0.5,0.75,0.25,0.5,0.5,0,0.5,
37,0,0.5,0.25,0.25,0.5,0,0.5,0.75,0,0.75,0.5,0.25,
38,0.25,0,0.75,0,0.5,0,0.5,0.25,0.25,0.25,0.75,0,
39,0.5,0.75,0.75,0.25,0.75,0.75,0,0.25,0.25,0.5,0.25,0.75,
40,0.5,0.75,0.25,0.75,0,0.5,0,0.75,0.75,0.5,0,0.25,
41,0.5,0.75,0.75,0.75,0.5,0.5,0.5,0.25,0.75,0.5,0.25,0.75,
42,0.5,0.5,0.5,0.5,0,0,0.25,0.25,0,0.5,0,0,
43,0.75,0.75,0.5,0.25,0.75,0,0,0.75,0.75,0.75,0.25,0.5,
44,0,0.25,0.5,0,0.25,0.25,0.5,0.75,0.75,0.75,0,0,
45,0,0.5,0,0,0,0,0.75,0.5,0.25,0.5,0.75,0.5,
46,0.75,0.25,0.75,0.25,0.5,0.75,0.5,0.25,0.75,0,0.5,0.5,
47,0.25,0.25,0,0.25,0.5,0,0,0.75,0.25,0,0.75,0,
48,0,0.75,0.5,0.5,0.25,0.5,0,0,0.75,0.5,0,0.5,
49,0,0.5,0.5,0.5,0.75,0.75,0.75,0.75,0.25,0.25,0,0.25,
50,0.25,0.25,0,0.25,0.25,0.25,0.25,0,0,0.5,0.5,0,
51,0.5,0.75,0.5,0,0.75,0.5,0.75,0.25,0,0.5,0,0,
52,0.25,0.5,0.25,0.5,0.75,0.75,0,0.75,0,0.5,0,0.25,
53,0,0.75,0.25,0,0.5,0.75,0,0,0.75,0.75,0.75,0.75,
54,0,0.25,0.25,0,0.75,0.5,0.75,0.25,0.25,0.5,0,0.5,
55,0,0,0.5,0.5,0.5,0.75,0.5,0,0,0.25,0.75,0,
56,0.75,0.75,0.25,0.5,0,0.25,0.75,0.25,0.5,0.5,0.75,0.5,
57,0.25,0,0,0.75,0.5,0,0.75,0.25,0.75,0.5,0,0.5,
58,0,0.75,0.25,0.25,0.25,0,0,0.5,0.5,0.25,0,0.5,
59,0.75,0.25,0.5,0.25,0.25,0.75,0.5,0.25,0.5,0.25,0.5,0.5,
60,0.25,0,0.75,0,0.75,0,0.75,0.25,0.25,0.25,0.25,0.5,
61,0,0.75,0,0.75,0.5,0.75,0,0,0.25,0.25,0,0.75,
62,0.75,0,0,0.25,0.75,0.5,0.5,0.5,0.5,0.5,0.75,0.5,
63,0,0.75,0.25,0.75,0.75,0.5,0.75,0.75,0.25,0.25,0.75,0.25,
64,0.25,0.75,0.5,0,0.5,0.25,0,0.5,0.75,0,0.25,0.5,
65,0,0,0.5,0.5,0,0.75,0.5,0.25,0.5,0.25,0.75,0.5,
66,0,0.75,0.25,0.5,0.25,0.5,0.25,0,0.5,0.75,0.5,0.75,
67,0.5,0,0,0.25,0.75,0,0.5,0.25,0.75,0.5,0,0.25,
68,0.75,0.75,0.75,0.25,0,0,0.25,0.5,0.5,0.75,0,0,
69,0.75,0,0.5,0.75,0.75,0,0.75,0.75,0.5,0.5,0,0,
