sample,weight0,weight1,weight2,weight3,weight4,weight5,weight6,weight7,weight8,weight9,weight10,weight11,
0,0.75,0.75,0.25,0.75,0.25,0.5,0,0.75,0.5,0.5,0.5,0.25,
1,0.5,0,0.5,0.75,0,0.25,0.25,0,0.75,0.5,0.75,0.5,
2,0.25,0,0,0.25,0.75,0.5,0,0.75,0.25,0.5,0.5,0.5,
3,0,0.5,0.25,0.75,0.25,0.75,0,0,0,0.75,0.75,0.25,
4,0.25,0.25,0.25,0,0,0.25,0.75,0.25,0.5,0,0.75,0.25,
5,0.5,0.75,0,0.75,0.25,0.5,0.5,0.5,0.25,0,0.25,0.75,
6,0.75,0.5,0.75,0,0.25,0.75,0.25,0.75,0,0.75,0.75,0.25,
7,0.25,0.75,0.75,0.75,0.75,0.5,0,0.25,0.25,0.25,0.25,0.5,
8,0,0.75,0,0.5,0.75,0.5,0.25,0.75,0,0,0,0.5,
9,0,0.25,0.25,0,0.25,0.25,0.25,0.5,0,0.25,0.5,0,
10,0.75,0.75,0.5,0,0,0.75,0.75,0.25,0.75,0,0.75,0.75,
11,0.75,0,0.5,0.75,0.25,0.5,0.5,0.25,0,0.75,0.25,0.5,
12,0.25,0.75,0.25,0.5,0,0.75,0.5,0,0.75,0,0.25,0.75,
13,0,0,0,0.75,0.25,0.75,0.75,0,0,0.5,0,0.25,
14,0.25,0.5,0.5,0.5,0.5,0,0,0.75,0,0.5,0.25,0.25,
15,0.25,0,0.25,0,0,0.5,0,0.25,0.75,0.25,0.25,0,
16,0.25,0,0.25,0.25,0.5,0.25,0.5,0.75,0,0.25,0.25,0.5,
17,0.25,0.5,0.25,0.25,0,0.75,0.5,0.5,0.75,0,0.75,0,
18,0.5,0.75,0.5,0.5,0.25,0.75,0.75,0.5,0,0,0,0.5,
19,0.5,0.75,0.5,0.5,0,0,0,0.5,0.75,0.5,0.75,0.75,
20,0.5,0.5,0.5,0.5,0.75,0.25,0.75,0.25,0.25,0.25,0,0.5,
21,0,0.75,0.25,0,0,0.25,0.75,0.5,0,0.5,0,0.25,
22,0.5,0.25,0.75,0.25,0.75,0.75,0.25,0.25,0.25,0.75,0.75,0,
23,0.25,0.5,0.5,0.5,0,0.75,0.25,0.25,0.5,0.5,0.5,0.5,
24,0.75,0.25,0,0,0,0.25,0.25,0.75,0.5,0,0.25,0.25,
25,0.75,0.5,0.75,0.25,0.5,0.75,0.5,0.75,0.5,0.25,0.5,0.5,
26,0,0.75,0.75,0.5,0.25,0.5,0.25,0.25,0.75,0.5,0.5,0,
27,0.75,0.75,0.75,0.25,0,0,0.75,0,0.5,0.75,0.25,0.25,
28,0.5,0,0,0.25,0.25,0.75,0,0.25,0.5,0,0,0,
29,0.5,0.5,0.25,0.25,0,0,0.25,0.75,0.75,0.25,0.25,0.75,
30,0.25,0,0.75,0.75,0.75,0.25,0.25,0.5,0.25,0.5,0.75,0.75,
31,0.25,0.75,0.25,0.75,0.75,0.5,0.75,0.25,0,0.25,0.75,0,
32,0.25,0.25,0,0.25,0.5,0.25,0.25,0.75,0.25,0.25,0.75,0.25,
33,0.5,0,0.75,0,0.5,0.5,0.75,0.75,0.25,0.25,0.75,0.25,
34,0.75,0.5,0.5,0.75,0,0.25,0,0.25,0.5,0,0.75,0.25,
35,0.25,0,0,0.75,0.25,0,0,0.75,0,0,0,0.75,
36,0.5,0,0.5,0,0.25,0.25,0.25,0,0,0,0.75,0,
37,0.5,0.75,0.5,0.25,0,0.25,0.5,0.25,0.5,0.75,0.25,0.75,
38,0.75,0.5,0.75,0.75,0.5,0.75,0.5,0.25,0.75,0.25,0.5,0.25,
39,0.75,0,0.25,0,0,0.25,0.25,0.5,0.25,0,0,0.25,
40,0.25,0.5,0.75,0,0.25,0,0.75,0.25,0.75,0.5,0,0.25,
41,0.5,0.75,0.75,0.5,0.25,0.25,0.75,0.25,0.25,0,0.25,0.5,
42,0.25,0.5,0.25,0.5,0.5,0.25,0,0,0,0.75,0,0.5,
43,0,0,0.75,0.75,0.75,0,0.25,0.25,0,0,0,0.25,
44,0.25,0.75,0.75,0.75,0,0,0.25,0.5,0.75,0.5,0.25,0.5,
45,0,0.25,0.75,0,0.25,0,0.5,0.25,0,0.25,0.25,0.75,
46,0.5,0.5,0.25,0.5,0.75,0.25,0,0,0.25,0.75,0,0.5,
47,0,0.25,0,0,0,0.5,0.75,0,0.75,0.5,0.25,0.25,
48,0.5,0,0.5,0.75,0.5,0,0.75,0,0.5,0,0.5,0.25,
49,0.5,0.75,0.5,0.75,0.5,0.75,0.25,0.75,0,0.5,0.75,0.25,
50,0,0.5,0.5,0,0.25,0.75,0.25,0,0,0,0.75,0.5,
51,0,0.5,0.5,0.75,0.75,0.25,0,0.25,0,0.75,0.25,0.5,
52,0.5,0.75,0.5,0.75,0.25,0.25,0.25,0.5,0,0,0.5,0.25,
53,0,0.75,0.25,0,0,0.25,0.5,0,0,0,0.75,0.75,
54,0.25,0,0.25,0.5,0,0.5,0.25,0.75,0.5,0.75,0.5,0,
55,0.25,0,0.5,0.25,0,0,0.75,0,0,0.25,0,0,
56,0.75,0.5,0.25,0.75,0.75,0,0.75,0.25,0,0,0.75,0,
57,0.75,0,0,0.5,0,0.75,0.5,0.25,0.75,0,0.75,0.75,
58,0.25,0.75,0,0.5,0.25,0,0.5,0,0.75,0.75,0,0.75,
59,0,0.75,0,0.25,0,0,0.5,0,0,0.5,0.5,0.25,
60,0.25,0,0.5,0,0.25,0.5,0,0.5,0.25,0,0,0.5,
61,0.25,0.75,0.75,0.25,0.75,0.75,0,0.75,0.75,0.25,0,0,
62,0.25,0.5,0,0.5,0,0.5,0.75,0.25,0.75,0.5,0.5,0,
63,0,0.5,0.5,0.25,0.75,0.75,0,0.25,0.5,0.75,0.75,0.25,
64,0.75,0,0,0.5,0.25,0.25,0.75,0.75,0.75,0.75,0.25,0,
65,0.5,0.25,0.5,0.25,0.75,0,0.25,0.75,0.75,0,0.25,0.75,
66,0.75,0.25,0.25,0.5,0.25,0,0.75,0,0.25,0,0.75,0.5,
67,0.5,0.5,0.5,0.5,0.25,0,0.5,0,0.25,0.25,0.25,0.25,
68,0.25,0.75,0.25,0.25,0.75,0.5,0.25,0.75,0.75,0.5,0.5,0,
69,0.75,0.5,0.25,0,0.5,0,0.75,0.25,0.75,0.25,0.75,0.25,
70,0.25,0.5,0.25,0.75,0.75,0.75,0.25,0.25,0.5,0.5,0.75,0.5,
71,0,0,0.5,0,0.5,0,0.25,0.25,0.5,0.5,0.5,0.25,
72,0.75,0.25,0.5,0.5,0.5,0.25,0,0,0,0.25,0,0.75,
73,0,0.25,0.25,0.75,0.75,0,0.25,0.75,0,0.75,0,0.5,
74,0.75,0.25,0,0.25,0.75,0.5,0.5,0.5,0,0.25,0.25,0.5,
75,0.5,0.5,0.75,0.75,0.75,0.75,0.5,0,0.25,0.75,0.75,0.25,
76,0.75,0.25,0.25,0,0,0.25,0.75,0,0.5,0.75,0.5,0.25,
77,0.5,0.25,0,0.5,0.5,0.5,0.25,0.25,0,0.25,0,0,
78,0.25,0.5,0.25,0.5,0.5,0.25,0.75,0.5,0.5,0,0.5,0.75,
79,0.25,0.25,0,0,0.25,0.5,0.5,0,0.75,0.5,0.75,0.25,
80,0.25,0.25,0.5,0.25,0.5,0.5,0.5,0.75,0.25,0.75,0.5,0,
81,0,0.5,0.75,0.75,0.75,0.5,0.5,0.25,0,0.5,0.25,0.25,
82,0,0.75,0.5,0,0.5,0.25,0.25,0.75,0.5,0,0.25,0.25,
83,0.75,0,0.25,0.25,0.75,0.75,0.5,0,0.5,0.25,0.75,0.25,
84,0.75,0.5,0.5,0.75,0.25,0,0.25,0.5,0.75,0,0.5,0.5,
85,0.5,0,0.5,0,0,0.75,0.5,0,0.75,0.75,0.25,0.75,
86,0.75,0.75,0,0.25,0.25,0.75,0.75,0,0.5,0.5,0,0.75,
87,0.5,0.5,0.25,0.5,0.5,0.75,0.25,0,0,0.75,0.25,0,
88,0.5,0,0.25,0.5,0.75,0.5,0.5,0.75,0.5,0.5,0.25,0.75,
89,0.5,0,0,0,0.75,0,0,0.5,0.75,0.25,0.25,0.25,
90,0.25,0.5,0.5,0.25,0.25,0,0.5,0,0,0.75,0.75,0,
91,0.5,0.25,0.75,0,0,0,0,0.5,0.25,0,0.75,0,
92,0.25,0.75,0.75,0,0.25,0,0.5,0.5,0.5,0.25,0.75,0,
93,0.25,0.25,0.25,0.25,0.25,0,0.5,0.75,0.5,0.25,0,0.75,
94,0.5,0,0.5,0,0,0.25,0,0.5,0.25,0,0.5,0.5,
95,0,0.25,0.25,0.75,0.5,0,0.75,0.75,0.5,0,0.25,0.75,
96,0.25,0,0.75,0,0.25,0.75,0.75,0,0.75,0.25,0,0,
97,0.75,0.25,0.5,0,0.25,0.25,0.75,0.25,0.5,0,0.25,0.25,
98,0.25,0,0.25,0.75,0.25,0.75,0.75,0.75,0.75,0.75,0.75,0.25,
99,0.5,0.5,0.25,0.5,0.75,0.25,0.75,0.75,0.75,0.25,0.75,0.25,
