sample,weight0,weight1,weight2,weight3,weight4,weight5,weight6,weight7,weight8,weight9,weight10,weight11,
0,0.75,0.75,0.25,0.75,0.75,0.25,0.75,0.5,0.25,0.5,0.5,0.25,
1,0.5,0.75,0.75,0.5,0.25,0,0.75,0.75,0.25,0.75,0.75,0.75,
2,0.5,0.75,0.25,0.5,0.75,0.25,0.25,0,0,0.25,0.5,0.75,
3,0.75,0.25,0.5,0.25,0.25,0.25,0.25,0.25,0.75,0.5,0.25,0.5,
4,0.5,0.5,0.25,0.5,0.75,0,0.25,0,0.5,0.25,0.25,0.75,
5,0.25,0,0.75,0.25,0,0.75,0.75,0.5,0,0,0,0.25,
6,0.75,0,0,0.5,0.5,0.75,0.25,0.75,0.25,0,0,0.75,
7,0.5,0,0.5,0.25,0.25,0,0.5,0.25,0.25,0.5,0,0.25,
8,0.25,0.25,0.25,0.75,0,0.25,0.75,0,0.75,0.5,0.75,0,
9,0,0.25,0.5,0.75,0.25,0,0.75,0,0.5,0.25,0,0.25,
10,0.5,0,0,0.75,0.25,0.25,0.25,0.75,0.25,0.25,0,0,
11,0,0.5,0.25,0.25,0.25,0.25,0.75,0.75,0.25,0.25,0,0.25,
12,0.75,0.75,0.25,0,0.5,0,0,0.5,0.75,0.5,0,0.25,
13,0.25,0.5,0.5,0.25,0,0.75,0,0.25,0.25,0.25,0.75,0,
14,0.25,0.25,0.25,0.5,0.5,0,0.5,0,0.25,0,0,0.25,
15,0,0.75,0.75,0.25,0.25,0,0.75,0,0.5,0,0.75,0.75,
16,0,0.25,0.5,0.25,0.5,0.75,0.5,0,0.5,0.25,0.25,0,
17,0.5,0.25,0.5,0.75,0,0.75,0.75,0.75,0,0,0,0,
18,0.5,0,0,0.25,0.75,0.25,0.75,0.25,0.5,0.25,0.25,0.25,
19,0.75,0.5,0.75,0,0,0.25,0.5,0.75,0.25,0.5,0.5,0,
20,0.75,0.25,0.75,0.75,0.5,0.5,0,0.5,0.75,0.75,0.75,0.5,
21,0.5,0,0.5,0.75,0.5,0.5,0.5,0.25,0.5,0.75,0.75,0.25,
22,0,0.75,0.25,0.25,0.5,0,0.5,0.5,0,0,0,0,
23,0,0,0.75,0.5,0.5,0.25,0.75,0,0.25,0.5,0.75,0.75,
24,0.25,0.75,0.5,0.75,0.5,0.75,0.5,0.75,0,0.25,0,0.75,
25,0.25,0.75,0.75,0.5,0.75,0.75,0.5,0.5,0.5,0.25,0,0.5,
26,0.25,0,0,0.25,0.75,0.5,0.25,0.5,0.25,0.75,0.5,0,
