sample,weight0,weight1,weight2,weight3,weight4,weight5,weight6,weight7,weight8,weight9,weight10,weight11,
0,0.5,0.75,0.25,0.25,0.5,0.25,0.75,0,0,0,0,0.25,
1,0.25,0.25,0.5,0.25,0,0.25,0,0.75,0.25,0,0,0,
2,0,0,0.25,0,0.25,0,0,0.5,0.25,0.75,0.75,0.25,
3,0.75,0.5,0,0.25,0.25,0.25,0.5,0.75,0.5,0.75,0,0.5,
4,0.5,0.5,0.5,0.75,0.75,0.75,0.75,0.25,0.75,0,0.25,0,
5,0.75,0.75,0.5,0,0.75,0.5,0.5,0.75,0.75,0.75,0,0.25,
6,0.75,0,0,0.25,0.75,0.5,0,0.5,0.25,0,0.25,0.25,
7,0.25,0.25,0.75,0.25,0.25,0.5,0.25,0.75,0.75,0,0.5,0.25,
8,0.5,0.25,0.25,0.75,0,0,0,0.25,0.5,0,0.75,0.75,
9,0,0.75,0.75,0.25,0.25,0,0.75,0,0.25,0.25,0.75,0.75,
10,0.75,0.75,0.75,0.25,0.75,0.25,0.5,0,0.25,0.75,0.25,0.25,
11,0.75,0.5,0,0.75,0,0,0.5,0,0.5,0,0,0.5,
12,0.5,0.75,0,0.25,0,0.75,0.25,0.75,0.25,0.25,0,0.75,
13,0.5,0.75,0.75,0.75,0,0.75,0.5,0,0.5,0.5,0.25,0.25,
14,0,0.25,0.75,0.5,0.5,0.5,0.5,0.75,0.75,0.75,0.75,0.25,
15,0,0.5,0.75,0,0,0.25,0,0,0.25,0,0.75,0.75,
16,0.5,0.5,0.5,0,0.25,0.5,0.25,0.25,0.25,0,0.75,0,
17,0.75,0.75,0.75,0,0.25,0.75,0.75,0.25,0,0.75,0.75,0,
18,0,0,0,0,0.25,0.5,0.75,0,0.5,0.25,0.5,0,
19,0,0,0.5,0,0,0.25,0.75,0.75,0.5,0.25,0.75,0.25,
20,0,0.25,0.5,0,0.25,0.75,0.25,0.25,0,0.75,0.75,0.75,
21,0.5,0.25,0.5,0.5,0.75,0.5,0.75,0.5,0.75,0.75,0,0.5,
22,0.5,0,0.5,0.75,0.75,0.5,0,0.25,0.75,0.25,0,0,
23,0,0,0.5,0,0.75,0.25,0.25,0.5,0.75,0.25,0,0.5,
24,0,0.5,0.75,0.5,0.25,0.5,0.75,0,0.25,0.5,0.75,0.5,
25,0.5,0,0.75,0.75,0.75,0,0.75,0.5,0,0.5,0.75,0.5,
26,0.5,0.75,0.25,0.25,0.75,0.25,0.75,0.75,0,0.25,0.25,0.75,
27,0.75,0.25,0,0.25,0.25,0.75,0.5,0.25,0.5,0.25,0.25,0.5,
28,0.5,0,0.5,0,0.25,0.25,0.75,0.75,0.75,0.75,0.25,0.75,
29,0.5,0,0,0.5,0.5,0.75,0,0.75,0.25,0.25,0.75,0.75,
30,0.25,0,0,0.75,0,0.5,0,0.75,0.5,0.5,0.25,0.5,
31,0,0.25,0,0,0,0.5,0.25,0,0,0.75,0.75,0,
32,0,0.5,0.5,0,0,0,0.25,0,0,0.25,0.75,0.25,
33,0.25,0.75,0.5,0,0.5,0.75,0.5,0.5,0.75,0.5,0,0,
34,0.25,0,0.75,0.5,0.75,0.75,0,0.5,0,0.25,0.5,0.25,
35,0.5,0.75,0.25,0,0,0.75,0.75,0.5,0.75,0.5,0.25,0.25,
36,0.25,0,0.25,0.25,0.75,0.75,0.25,0.5,0.25,0.25,0.5,0.5,
37,0.5,0.75,0.5,0.75,0.25,0.25,0.5,0.75,0.25,0.75,0.5,0.25,
38,0.5,0.75,0.75,0.75,0,0.25,0.75,0.25,0.5,0.75,0.25,0,
39,0.5,0.25,0.75,0.25,0.25,0.5,0,0.75,0.5,0.5,0.25,0,
40,0.5,0.75,0,0.75,0.25,0.75,0.5,0.25,0.75,0.5,0.5,0.5,
41,0.25,0.5,0.25,0.5,0.75,0,0,0.75,0.25,0.25,0.25,0.5,
42,0.75,0.25,0.5,0,0.75,0,0,0,0.75,0.5,0.75,0.5,
43,0.5,0.25,0.75,0.25,0.5,0,0.75,0,0.5,0.75,0,0.5,
44,0.5,0,0,0.25,0.25,0,0.5,0,0.25,0.25,0.25,0.5,
45,0.25,0,0.25,0.75,0,0.75,0.25,0.75,0.25,0.75,0,0,
46,0.75,0,0,0.25,0.5,0.75,0.5,0.75,0,0,0,0.75,
47,0.25,0.25,0.5,0.75,0.75,0.75,0,0.25,0.75,0.25,0,0,
48,0.5,0,0.25,0.5,0.75,0,0.5,0.75,0.5,0.25,0.75,0,
49,0.75,0,0.25,0.75,0.25,0.75,0,0.75,0.75,0,0.5,0,
50,0.5,0.25,0.5,0.5,0.5,0,0.5,0,0.75,0.5,0.25,0.5,
51,0,0,0.25,0,0.5,0,0.25,0,0,0.5,0.75,0,
52,0.75,0.25,0.25,0.75,0.5,0.75,0,0.25,0.5,0.75,0.25,0.25,
53,0.25,0.75,0.5,0.75,0.25,0.5,0,0.75,0.5,0.5,0.75,0,
54,0,0.75,0.5,0.25,0.25,0.25,0.5,0.5,0,0.25,0.25,0.25,
55,0,0.25,0,0.25,0.5,0.25,0.25,0,0.25,0.75,0.5,0.25,
56,0.25,0,0.5,0.25,0.5,0.5,0,0,0.75,0.5,0.5,0.5,
57,0.75,0.75,0.5,0.25,0.25,0.5,0.75,0.5,0,0.25,0.75,0.25,
58,0.25,0,0,0.5,0.5,0.25,0.5,0.25,0.75,0.25,0.75,0,
59,0.75,0.5,0,0.25,0.75,0.75,0,0.25,0.25,0.5,0,0,
60,0,0.25,0.75,0.5,0.75,0.25,0.75,0.75,0,0.5,0.25,0.75,
61,0,0,0.5,0.25,0.5,0.25,0.75,0.75,0.75,0.5,0.75,0.75,
62,0,0.25,0,0,0.25,0.25,0.5,0.25,0,0.25,0.75,0.75,
63,0.75,0.25,0.5,0.5,0,0.75,0.5,0.75,0.25,0.25,0.25,0.25,
64,0,0,0,0,0,0,0.25,0.25,0.25,0.75,0.75,0,
65,0.75,0.25,0,0.5,0.75,0.75,0,0.5,0.5,0.25,0.5,0,
66,0.75,0.5,0.5,0,0.75,0.75,0,0.75,0.75,0,0,0.25,
67,0.5,0.25,0.25,0.5,0.75,0.25,0,0.75,0,0.75,0.75,0,
68,0.25,0.25,0.75,0.5,0.5,0.5,0.25,0.25,0.75,0,0,0.75,
69,0,0,0.25,0.25,0.75,0,0.75,0.25,0.5,0.5,0.5,0.5,
