sample,weight0,weight1,weight2,weight3,weight4,weight5,weight6,weight7,weight8,weight9,weight10,weight11,
0,0.5,0.25,0.25,0.75,0.75,0.75,0.75,0.5,0.25,0.75,0.25,0,
1,0.5,0,0.75,0.5,0,0,0.5,0.5,0,0,0.25,0,
2,0.75,0.5,0.5,0.75,0.75,0.25,0.25,0,0,0.25,0.75,0,
3,0.25,0,0.25,0.25,0.25,0,0.5,0.25,0.5,0.5,0.25,0,
4,0.5,0.25,0.5,0.5,0.5,0.5,0.25,0,0.5,0,0.25,0.75,
5,0.5,0,0,0.5,0,0.25,0.5,0.5,0.75,0,0.5,0.5,
6,0.25,0,0.75,0.5,0.25,0.25,0.75,0,0,0.25,0.75,0.5,
7,0.25,0.5,0.75,0,0,0.25,0.25,0,0,0.5,0.5,0.5,
8,0.5,0.5,0.75,0,0,0,0,0.75,0.5,0.5,0.25,0.25,
9,0.25,0.5,0.5,0,0,0.75,0.75,0,0,0.75,0.25,0.25,
10,0.5,0.75,0.5,0,0,0.25,0.75,0.75,0.25,0,0.75,0.5,
11,0.25,0.25,0.25,0.75,0,0.75,0.25,0.75,0.75,0.5,0.75,0.5,
12,0.75,0.25,0,0.25,0.25,0.5,0.25,0,0.75,0.25,0.25,0.75,
13,0.75,0.75,0,0.5,0.75,0.5,0.75,0,0.5,0,0.75,0.75,
14,0.5,0.25,0.5,0,0,0.5,0.5,0,0.75,0.75,0.5,0.25,
15,0.5,0.5,0.25,0.25,0.75,0,0,0,0.5,0.75,0.75,0.5,
16,0.25,0.5,0.75,0.25,0.5,0.5,0.75,0.25,0.75,0.75,0.75,0.25,
17,0.75,0.25,0.5,0,0,0,0.75,0.5,0.5,0.75,0.5,0.5,
18,0.25,0.5,0.75,0.75,0.5,0.25,0.5,0.5,0.5,0,0,0.5,
19,0.75,0.5,0.25,0.25,0.5,0,0.5,0,0.25,0.75,0.25,0,
20,0.75,0.75,0.75,0.5,0.75,0.25,0,0.75,0,0.75,0.25,0.5,
21,0.75,0.75,0.5,0.5,0,0.25,0,0.5,0.5,0.5,0.5,0,
22,0,0,0.25,0,0.25,0.25,0,0.25,0.75,0,0.5,0,
23,0.75,0,0.25,0.5,0.25,0.25,0.25,0.75,0.75,0.5,0.25,0,
24,0,0.5,0.5,0.25,0.5,0.75,0.25,0.75,0,0.5,0,0,
25,0.75,0.25,0.5,0,0.25,0.5,0,0.75,0,0.5,0,0.25,
