sample,weight0,weight1,weight2,weight3,weight4,weight5,weight6,weight7,weight8,weight9,weight10,weight11,
0,0,0,0.5,0.25,0.25,0.25,0.25,0.5,0.25,0.75,0,0.5,
1,0,0,0.75,0.5,0.5,0,0.5,0.5,0.5,0.75,0,0,
2,0,0,0.5,0.25,0,0.5,0.25,0.5,0.75,0.5,0,0.25,
3,0.5,0,0.5,0,0.5,0.75,0.25,0.25,0.25,0,0.25,0,
4,0,0,0.5,0,0.5,0.75,0,0,0,0.25,0.5,0.25,
5,0.5,0,0,0.75,0.5,0.5,0,0,0.75,0.5,0,0.25,
6,0.5,0.25,0.25,0.75,0.75,0.25,0.75,0.5,0.25,0.25,0.25,0.5,
7,0.25,0.75,0,0.75,0,0.5,0.75,0,0.25,0.25,0.75,0.25,
8,0.75,0,0.5,0.25,0.75,0,0.75,0.25,0.75,0.75,0.5,0.75,
9,0,0,0.75,0.5,0.25,0.25,0.5,0.5,0,0.5,0,0.75,
10,0.25,0.25,0.5,0.75,0.75,0.5,0,0.25,0,0.75,0.5,0.75,
11,0.5,0.5,0.75,0.25,0,0.75,0.25,0.75,0.5,0.75,0.25,0,
12,0.5,0.75,0.5,0.5,0.5,0,0.75,0.25,0,0.5,0,0,
13,0,0,0.75,0.75,0.25,0.25,0.25,0.25,0.75,0.5,0,0.25,
14,0.75,0,0.75,0,0.5,0.25,0.75,0.25,0.75,0.25,0.25,0.5,
15,0.5,0.25,0.75,0.5,0.25,0.75,0.5,0,0.75,0,0.5,0.25,
16,0.25,0.75,0.5,0.5,0.25,0.5,0.75,0,0.5,0.5,0.5,0.25,
17,0.25,0.75,0.25,0,0.75,0.75,0.25,0.5,0.5,0.75,0.5,0.25,
18,0.25,0.25,0.5,0.5,0.75,0,0.25,0.5,0.5,0.75,0,0.25,
19,0.5,0,0.25,0,0,0.75,0,0.25,0,0.75,0.25,0.5,
20,0,0.25,0,0.25,0.5,0.5,0.75,0,0.25,0.5,0,0.75,
21,0.75,0.5,0.25,0.25,0.5,0,0.25,0.75,0.25,0.25,0.75,0.25,
